factor_name_list,factor_name_ROC
EIF2AK2;IFI44;PRIC285;XAF1;ZBP1,0.802
EIF2AK2;IFI44;TRIM22;XAF1;ZBP1,0.595
EIF2AK2;IFI44L;IFIT3;IFITM3;PARP9,0.889
EIF2AK2;IFI44L;IFIT3;IFITM3;PRIC285,0.922
EIF2AK2;IFI44L;IFIT3;IFITM3;TRIM22,0.882
EIF2AK2;IFI44L;IFIT3;IFITM3;XAF1,0.881
EIF2AK2;IFI44L;IFIT3;IFITM3;ZBP1,0.874
EIF2AK2;IFI44L;IFIT3;PARP9;PRIC285,0.905
EIF2AK2;IFI44L;IFIT3;PARP9;TRIM22,0.884
EIF2AK2;IFI44L;IFIT3;PARP9;XAF1,0.894
EIF2AK2;IFI44L;IFIT3;PARP9;ZBP1,0.898
EIF2AK2;IFI44L;IFIT3;PRIC285;TRIM22,0.895
EIF2AK2;IFI44L;IFIT3;PRIC285;XAF1,0.913
EIF2AK2;IFI44L;IFIT3;PRIC285;ZBP1,0.91
EIF2AK2;IFI44L;IFIT3;TRIM22;XAF1,0.852
EIF2AK2;IFI44L;IFIT3;TRIM22;ZBP1,0.835
EIF2AK2;IFI44L;IFIT3;XAF1;ZBP1,0.871
EIF2AK2;IFI44L;IFITM3;PARP9;PRIC285,0.903
EIF2AK2;IFI44L;IFITM3;PARP9;TRIM22,0.764
EIF2AK2;IFI44L;IFITM3;PARP9;XAF1,0.898
EIF2AK2;IFI44L;IFITM3;PARP9;ZBP1,0.848
EIF2AK2;IFI44L;IFITM3;PRIC285;TRIM22,0.517
EIF2AK2;IFI44L;IFITM3;PRIC285;XAF1,0.903
EIF2AK2;IFI44L;IFITM3;PRIC285;ZBP1,0.901
EIF2AK2;IFI44L;IFITM3;TRIM22;XAF1,0.857
EIF2AK2;IFI44L;IFITM3;TRIM22;ZBP1,0.758
EIF2AK2;IFI44L;IFITM3;XAF1;ZBP1,0.832
EIF2AK2;IFI44L;PARP9;PRIC285;TRIM22,0.813
EIF2AK2;IFI44L;PARP9;PRIC285;XAF1,0.906
EIF2AK2;IFI44L;PARP9;PRIC285;ZBP1,0.863
EIF2AK2;IFI44L;PARP9;TRIM22;XAF1,0.674
EIF2AK2;IFI44L;PARP9;TRIM22;ZBP1,0.778
EIF2AK2;IFI44L;PARP9;XAF1;ZBP1,0.853
EIF2AK2;IFI44L;PRIC285;TRIM22;XAF1,0.597
EIF2AK2;IFI44L;PRIC285;TRIM22;ZBP1,0.797
EIF2AK2;IFI44L;PRIC285;XAF1;ZBP1,0.857
EIF2AK2;IFI44L;TRIM22;XAF1;ZBP1,0.744
EIF2AK2;IFIT3;IFITM3;PARP9;PRIC285,0.819
EIF2AK2;IFIT3;IFITM3;PARP9;TRIM22,0.807
EIF2AK2;IFIT3;IFITM3;PARP9;XAF1,0.876
EIF2AK2;IFIT3;IFITM3;PARP9;ZBP1,0.895
EIF2AK2;IFIT3;IFITM3;PRIC285;TRIM22,0.529
EIF2AK2;IFIT3;IFITM3;PRIC285;XAF1,0.902
EIF2AK2;IFIT3;IFITM3;PRIC285;ZBP1,0.506
EIF2AK2;IFIT3;IFITM3;TRIM22;XAF1,0.734
EIF2AK2;IFIT3;IFITM3;TRIM22;ZBP1,0.779
EIF2AK2;IFIT3;IFITM3;XAF1;ZBP1,0.601
EIF2AK2;IFIT3;PARP9;PRIC285;TRIM22,0.526
EIF2AK2;IFIT3;PARP9;PRIC285;XAF1,0.894
EIF2AK2;IFIT3;PARP9;PRIC285;ZBP1,0.852
EIF2AK2;IFIT3;PARP9;TRIM22;XAF1,0.771
EIF2AK2;IFIT3;PARP9;TRIM22;ZBP1,0.783
EIF2AK2;IFIT3;PARP9;XAF1;ZBP1,0.605
EIF2AK2;IFIT3;PRIC285;TRIM22;XAF1,0.598
EIF2AK2;IFIT3;PRIC285;TRIM22;ZBP1,0.596
EIF2AK2;IFIT3;PRIC285;XAF1;ZBP1,0.6
EIF2AK2;IFIT3;TRIM22;XAF1;ZBP1,0.708
EIF2AK2;IFITM3;PARP9;PRIC285;TRIM22,0.532
EIF2AK2;IFITM3;PARP9;PRIC285;XAF1,0.896
EIF2AK2;IFITM3;PARP9;PRIC285;ZBP1,0.763
EIF2AK2;IFITM3;PARP9;TRIM22;XAF1,0.815
EIF2AK2;IFITM3;PARP9;TRIM22;ZBP1,0.783
EIF2AK2;IFITM3;PARP9;XAF1;ZBP1,0.646
EIF2AK2;IFITM3;PRIC285;TRIM22;XAF1,0.521
EIF2AK2;IFITM3;PRIC285;TRIM22;ZBP1,0.602
EIF2AK2;IFITM3;PRIC285;XAF1;ZBP1,0.86
EIF2AK2;IFITM3;TRIM22;XAF1;ZBP1,0.79
EIF2AK2;PARP9;PRIC285;TRIM22;XAF1,0.597
EIF2AK2;PARP9;PRIC285;TRIM22;ZBP1,0.804
EIF2AK2;PARP9;PRIC285;XAF1;ZBP1,0.874
EIF2AK2;PARP9;TRIM22;XAF1;ZBP1,0.829
EIF2AK2;PRIC285;TRIM22;XAF1;ZBP1,0.763
IFI44;IFI44L;IFIT3;IFITM3;PARP9,0.898
