factor_name_list,factor_name_ROC
IFI44L;IFITM3;PARP9;ZBP1,0.703
IFI44L;IFITM3;PRIC285;TRIM22,0.611
IFI44L;IFITM3;PRIC285;XAF1,0.723
IFI44L;IFITM3;PRIC285;ZBP1,0.7
IFI44L;IFITM3;TRIM22;XAF1,0.639
IFI44L;IFITM3;TRIM22;ZBP1,0.583
IFI44L;IFITM3;XAF1;ZBP1,0.698
IFI44L;PARP9;PRIC285;TRIM22,0.855
IFI44L;PARP9;PRIC285;XAF1,0.889
IFI44L;PARP9;PRIC285;ZBP1,0.853
IFI44L;PARP9;TRIM22;XAF1,0.854
IFI44L;PARP9;TRIM22;ZBP1,0.812
IFI44L;PARP9;XAF1;ZBP1,0.852
IFI44L;PRIC285;TRIM22;XAF1,0.799
IFI44L;PRIC285;TRIM22;ZBP1,0.689
IFI44L;PRIC285;XAF1;ZBP1,0.906
IFI44L;TRIM22;XAF1;ZBP1,0.761
IFIT3;IFITM3;PARP9;PRIC285,0.709
IFIT3;IFITM3;PARP9;TRIM22,0.556
IFIT3;IFITM3;PARP9;XAF1,0.681
IFIT3;IFITM3;PARP9;ZBP1,0.705
IFIT3;IFITM3;PRIC285;TRIM22,0.5
IFIT3;IFITM3;PRIC285;XAF1,0.712
IFIT3;IFITM3;PRIC285;ZBP1,0.707
IFIT3;IFITM3;TRIM22;XAF1,0.5
IFIT3;IFITM3;TRIM22;ZBP1,0.5
IFIT3;IFITM3;XAF1;ZBP1,0.66
IFIT3;PARP9;PRIC285;TRIM22,0.707
IFIT3;PARP9;PRIC285;XAF1,0.79
IFIT3;PARP9;PRIC285;ZBP1,0.809
IFIT3;PARP9;TRIM22;XAF1,0.634
IFIT3;PARP9;TRIM22;ZBP1,0.786
IFIT3;PARP9;XAF1;ZBP1,0.818
IFIT3;PRIC285;TRIM22;XAF1,0.5
IFIT3;PRIC285;TRIM22;ZBP1,0.5
IFIT3;PRIC285;XAF1;ZBP1,0.785
IFIT3;TRIM22;XAF1;ZBP1,0.5
IFITM3;PARP9;PRIC285;TRIM22,0.611
IFITM3;PARP9;PRIC285;XAF1,0.681
IFITM3;PARP9;PRIC285;ZBP1,0.682
IFITM3;PARP9;TRIM22;XAF1,0.556
IFITM3;PARP9;TRIM22;ZBP1,0.662
IFITM3;PARP9;XAF1;ZBP1,0.682
IFITM3;PRIC285;TRIM22;XAF1,0.5
IFITM3;PRIC285;TRIM22;ZBP1,0.5
IFITM3;PRIC285;XAF1;ZBP1,0.712
IFITM3;TRIM22;XAF1;ZBP1,0.5
PARP9;PRIC285;TRIM22;XAF1,0.757
PARP9;PRIC285;TRIM22;ZBP1,0.784
PARP9;PRIC285;XAF1;ZBP1,0.815
PARP9;TRIM22;XAF1;ZBP1,0.738
PRIC285;TRIM22;XAF1;ZBP1,0.5
EIF2AK2;IFI44;IFI44L;IFIT3;IFITM3,0.711
EIF2AK2;IFI44;IFI44L;IFIT3;PARP9,0.643
EIF2AK2;IFI44;IFI44L;IFIT3;PRIC285,0.936
EIF2AK2;IFI44;IFI44L;IFIT3;TRIM22,0.77
EIF2AK2;IFI44;IFI44L;IFIT3;XAF1,0.866
EIF2AK2;IFI44;IFI44L;IFIT3;ZBP1,0.909
EIF2AK2;IFI44;IFI44L;IFITM3;PARP9,0.777
EIF2AK2;IFI44;IFI44L;IFITM3;PRIC285,0.696
EIF2AK2;IFI44;IFI44L;IFITM3;TRIM22,0.607
EIF2AK2;IFI44;IFI44L;IFITM3;XAF1,0.742
EIF2AK2;IFI44;IFI44L;IFITM3;ZBP1,0.703
EIF2AK2;IFI44;IFI44L;PARP9;PRIC285,0.859
EIF2AK2;IFI44;IFI44L;PARP9;TRIM22,0.876
EIF2AK2;IFI44;IFI44L;PARP9;XAF1,0.874
EIF2AK2;IFI44;IFI44L;PARP9;ZBP1,0.842
EIF2AK2;IFI44;IFI44L;PRIC285;TRIM22,0.795
EIF2AK2;IFI44;IFI44L;PRIC285;XAF1,0.93
EIF2AK2;IFI44;IFI44L;PRIC285;ZBP1,0.914
EIF2AK2;IFI44;IFI44L;TRIM22;XAF1,0.812
EIF2AK2;IFI44;IFI44L;TRIM22;ZBP1,0.786
EIF2AK2;IFI44;IFI44L;XAF1;ZBP1,0.916
EIF2AK2;IFI44;IFIT3;IFITM3;PARP9,0.749
EIF2AK2;IFI44;IFIT3;IFITM3;PRIC285,0.738
EIF2AK2;IFI44;IFIT3;IFITM3;TRIM22,0.626
EIF2AK2;IFI44;IFIT3;IFITM3;XAF1,0.696
EIF2AK2;IFI44;IFIT3;IFITM3;ZBP1,0.74
EIF2AK2;IFI44;IFIT3;PARP9;PRIC285,0.621
EIF2AK2;IFI44;IFIT3;PARP9;TRIM22,0.625
EIF2AK2;IFI44;IFIT3;PARP9;XAF1,0.907
EIF2AK2;IFI44;IFIT3;PARP9;ZBP1,0.567
EIF2AK2;IFI44;IFIT3;PRIC285;TRIM22,0.86
EIF2AK2;IFI44;IFIT3;PRIC285;XAF1,0.904
EIF2AK2;IFI44;IFIT3;PRIC285;ZBP1,0.955
EIF2AK2;IFI44;IFIT3;TRIM22;XAF1,0.727
EIF2AK2;IFI44;IFIT3;TRIM22;ZBP1,0.822
EIF2AK2;IFI44;IFIT3;XAF1;ZBP1,0.907
EIF2AK2;IFI44;IFITM3;PARP9;PRIC285,0.777
EIF2AK2;IFI44;IFITM3;PARP9;TRIM22,0.818
EIF2AK2;IFI44;IFITM3;PARP9;XAF1,0.826
EIF2AK2;IFI44;IFITM3;PARP9;ZBP1,0.78
EIF2AK2;IFI44;IFITM3;PRIC285;TRIM22,0.707
EIF2AK2;IFI44;IFITM3;PRIC285;XAF1,0.776
EIF2AK2;IFI44;IFITM3;PRIC285;ZBP1,0.7
